name,material,type_wood,processing,size,sort,price,unit,img
Блок-хаус,Кедр,Алтайский,,20х90х2-4м,,1.5,кв.м,
Блок-хаус,Кедр,Алтайский,,36х135х2-4м,,3,кв.м,
Блок-хаус,Кедр,Алтайский,,45х150х2-4м,,3,кв.м,
Брус,Сосна,Сибирская (Ангарская),,"140х120/164/200х2м-5.8м, (возможна длинна бруса по Вашему заказу/проекту)",1,30,куб.м,
Брус,Сосна,Сибирская (Ангарская),,140х120/164/200х2м-5.8м (возможна длинна бруса по Вашему заказу/проекту),2,26,куб.м,
Брус,Лиственница,Сибирская (Ангарская),,140х120/164/200х2м-5.8м (возможна длинна бруса по Вашему заказу/проекту),1,48,куб.м,
Брус,Лиственница,Сибирская (Ангарская),,140х120/164/200х2м-5.8м (возможна длинна бруса по Вашему заказу/проекту),2,30,куб.м,
Брусок,Сосна,Сибирская (Ангарская),,15х20х3м,,25,пог.м,
Брусок,Сосна,Сибирская (Ангарская),,20х30х3м,,30,пог.м,
Брусок,Сосна,Сибирская (Ангарская),,20х40х3м,,35,пог.м,
Брусок,Сосна,Сибирская (Ангарская),,30х30х3м,,35,пог.м,
Брусок,Сосна,Сибирская (Ангарская),,30х40х3м,,40,пог.м,
Брусок,Сосна,Сибирская (Ангарская),,40х40х3м,,45,пог.м,
Брусок,Сосна,Сибирская (Ангарская),,40х50х3м,,55,пог.м,
Брусок,Сосна,Сибирская (Ангарская),,45х70х3м,,75,пог.м,
Брусок,Сосна,Сибирская (Ангарская),,50х70х3м,,75,пог.м,
Брусок,Лиственница,Сибирская (Ангарская),,18х30х3-4м,2,100,пог.м,
Брусок,Лиственница,Сибирская (Ангарская),,20х40х3-4м,2,100,пог.м,
Брусок,Лиственница,Сибирская (Ангарская),,60х70х3м,1,500,пог.м,
Вагонка,Кедр,Алтайский,,20х90х2-4м,,1.45,кв.м,
Вагонка,Кедр,Алтайский,,20х110х2-4м,,1.5,кв.м,
Вагонка,Кедр,Алтайский,,20х135х2-4м,,1.6,кв.м,
Вагонка Евро-штиль,Сосна,Сибирская (Ангарская),,16х80/90/100/110/130х2-4м,0,950,кв.м,
Вагонка Евро-штиль,Сосна,Сибирская (Ангарская),,16х80/90/100/110/130х2-4м,1,780,кв.м,
Вагонка Евро-штиль,Сосна,Сибирская (Ангарская),,16х80/90/100/110/130х2-4м,2,570,кв.м,
Вагонка Евро-штиль,Сосна,Сибирская (Ангарская),,16х80/90/100/110/130х2-4м,3,400,кв.м,
Вагонка Евро-штиль,Лиственница,Сибирская (Ангарская),,15х70/80/85/88/90/100/110/130х2м/2.5/2.9/3/3.5/4м,0,1.1,кв.м,
Вагонка Евро-штиль,Лиственница,Сибирская (Ангарская),,15х70/80/85/88/90/100/110/130х2м/2.5/2.9/3/3.5/4м,1,900,кв.м,
Вагонка Евро-штиль,Лиственница,Сибирская (Ангарская),,15х70/80/85/88/90/100/110/130х2м/2.5/2.9/3/3.5/4м,2,650,кв.м,
Вагонка Евро-штиль,Лиственница,Сибирская (Ангарская),,15х70/80/85/88/90/100/110/130х2м/2.5/2.9/3/3.5/4м,3,500,кв.м,
Вагонка,Лиственница,Сибирская (Ангарская),текстурированная,15х88/110/130х2-4м,0,2.1,кв.м,
Вагонка,Лиственница,Сибирская (Ангарская),текстурированная,15х88/110/130х2-4м,1,1.9,кв.м,
Вагонка,Лиственница,Сибирская (Ангарская),текстурированная,15х88/110/130х2-4м,2,1.7,кв.м,
Вагонка,Лиственница,Сибирская (Ангарская),текстурированная,15х88/110/130х2-4м,3,1.5,кв.м,
Вагонка Штиль,Кедр,Алтайский,,14х90/110/138х2-4м,0,1.8,кв.м,
Вагонка Штиль,Кедр,Алтайский,,14х90/110/138х2-4м,1,1.6,кв.м,
Вагонка Евро-штиль,Кедр,Сибирская (Ангарская),,16х85/110/130х2-4м,1,1.3,кв.м,
Вагонка Евро-штиль,Кедр,Сибирская (Ангарская),,16х85/110/130х2-4м,2,850,кв.м,
Галтель,Сосна,Сибирская (Ангарская),,28х2-4м,0,35,пог.м,
