name	material	size	sort	price	unit	img
Блок-хаус	Кедр Алтайский	20х90х2-4м;		1500	кв.м	
Блок-хаус	Кедр Алтайский	36х135х2-4м;		3000	кв.м	
Блок-хаус	Кедр Алтайский	45х150х2-4м;		3000	кв.м	
Брус	Лиственница Сибирская (Ангарская)	140х120/164/200х2м-5.8м; (возможна длинна бруса по Вашему заказу/проекту)	1	48000	куб.м	catalog/Brus sosna-listv.png; catalog/Brus sosna-listv1.png; catalog/Brus sosna-listv2.png
Брус	Лиственница Сибирская (Ангарская)	140х120/164/200х2м-5.8м; (возможна длинна бруса по Вашему заказу/проекту)	2	30000	куб.м	catalog/Brus sosna-listv.png; catalog/Brus sosna-listv1.png; catalog/Brus sosna-listv2.png
Брус	Сосна Сибирская (Ангарская)	140х120/164/200х2м-5.8м; (возможна длинна бруса по Вашему заказу/проекту)	1	30000	куб.м	catalog/Brus sosna-listv.png; catalog/Brus sosna-listv1.png; catalog/Brus sosna-listv2.png
Брус	Сосна Сибирская (Ангарская)	140х120/164/200х2м-5.8м; (возможна длинна бруса по Вашему заказу/проекту)	2	26000	куб.м	catalog/Brus sosna-listv.png; catalog/Brus sosna-listv1.png; catalog/Brus sosna-listv2.png
Брусок	Лиственница Сибирская (Ангарская)	18х30х3-4м;	2	50	пог.м	catalog/Brusok-Listv.png; catalog/Brusok-Listv1.png
Брусок	Лиственница Сибирская (Ангарская)	20х40х3-4м;	2	60	пог.м	catalog/Brusok-Listv.png; catalog/Brusok-Listv1.png
Брусок	Лиственница Сибирская (Ангарская)	60х70х3м;	1	400	пог.м	catalog/Brusok-Listv.png; catalog/Brusok-Listv1.png
Брусок	Сосна Сибирская (Ангарская)	15х20х3м;		25	пог.м	catalog/Brusok-Sosna.png; catalog/Brusok-Sosna1.png
Брусок	Сосна Сибирская (Ангарская)	20х30х3м;		30	пог.м	catalog/Brusok-Sosna.png; catalog/Brusok-Sosna1.png
Брусок	Сосна Сибирская (Ангарская)	20х40х3м;		35	пог.м	catalog/Brusok-Sosna.png; catalog/Brusok-Sosna1.png
Брусок	Сосна Сибирская (Ангарская)	30х30х3м;		35	пог.м	catalog/Brusok-Sosna.png; catalog/Brusok-Sosna1.png
Брусок	Сосна Сибирская (Ангарская)	30х40х3м;		40	пог.м	catalog/Brusok-Sosna.png; catalog/Brusok-Sosna1.png
Брусок	Сосна Сибирская (Ангарская)	40х40х3м;		45	пог.м	catalog/Brusok-Sosna.png; catalog/Brusok-Sosna1.png
Брусок	Сосна Сибирская (Ангарская)	40х50х3м;		55	пог.м	catalog/Brusok-Sosna.png; catalog/Brusok-Sosna1.png
Брусок	Сосна Сибирская (Ангарская)	45х70х3м;		75	пог.м	catalog/Brusok-Sosna.png; catalog/Brusok-Sosna1.png
Брусок	Сосна Сибирская (Ангарская)	50х70х3м;		75	пог.м	catalog/Brusok-Sosna.png; catalog/Brusok-Sosna1.png
Вагонка	Лиственница Сибирская (Ангарская) текстурированная/брашированная	15х88/110/130х2-4м;	0	2100	кв.м	catalog/Vagonka-Listv-Tekstbrsh.png
Вагонка	Лиственница Сибирская (Ангарская) текстурированная/брашированная	15х88/110/130х2-4м;	1	1900	кв.м	catalog/Vagonka-Listv-Tekstbrsh.png
Вагонка	Лиственница Сибирская (Ангарская) текстурированная/брашированная	15х88/110/130х2-4м;	2	1700	кв.м	catalog/Vagonka-Listv-Tekstbrsh.png
Вагонка	Лиственница Сибирская (Ангарская) текстурированная/брашированная	15х88/110/130х2-4м;	3	1500	кв.м	catalog/Vagonka-Listv-Tekstbrsh.png
Вагонка 	Кедр Сибирский (Ангарский) (евро-штиль)	16х85/110/130х2-4м;	1	1300	кв.м	catalog/Vagonka-Kedr.png; catalog/Vagonka-Kedr1.png
